model,DV,MSE,Pearson R,F1,AUC,DI_Age_bin,DI_Gender_bin,DI_Age_Gender,FV_Age_bin,FV_Gender_bin,FV_Age_Gender,adjustedDI,debiasing,wordlists,fullN
MBTIShort_thinking_Binary_PTD_RoBERTa_F_F_test.csv,MBTIShort_thinking,0,0,0.44621249792806233,0.5922866324603093,1.5782145782145782,0.6512269977951018,1.3109271523178807,0.18275951333160756,0.06850681564733138,0.18275951333160756,False,MBTIShort,thinking,False
MBTIShort_thinking_Binary_PTD_RoBERTa_T_F_test.csv,MBTIShort_thinking,0,0,0.44621249792806233,0.5922866324603093,1.3305040577767848,0.7918965138892041,1.3304635761589403,0.18275951333160756,0.06850681564733138,0.18275951333160756,True,MBTIShort,thinking,False
MBTIShort_thinking_Binary_PT_RoBERTa_F_F_test.csv,MBTIShort_thinking,0,0,0.5221800994534981,0.7340184995013977,1.2783981517135157,0.6847600349914191,1.4661805115197633,0.08023010350105553,0.05540786963691763,0.21099933427028628,False,MBTIShort,thinking,False
MBTIShort_thinking_Binary_PT_RoBERTa_T_F_test.csv,MBTIShort_thinking,0,0,0.5221800994534981,0.7340184995013977,1.01023448108141,0.8267013705019656,1.4774889029803424,0.08023010350105553,0.05540786963691763,0.21099933427028628,True,MBTIShort,thinking,False
MBTI_thinking_Binary_PT_BERT_F_F_test.csv,MBTI_thinking,0,0,0.49442087065849444,0.5905004866562975,0.9798881793370254,0.71898076014919,1.1002881844380403,0.007851201046826795,0.06593027281304942,0.10753341433778857,False,MBTI,thinking,False
MBTI_thinking_Binary_PT_BERT_T_F_test.csv,MBTI_thinking,0,0,0.49442087065849444,0.5905004866562975,0.7429813985532208,0.8646071786514195,1.1175792507204612,0.007851201046826795,0.06593027281304942,0.10753341433778857,True,MBTI,thinking,False
MBTI_thinking_Binary_PTD_BERT_F_F_test.csv,MBTI_thinking,0,0,0.5087066527757107,0.5755460266073946,1.2227391889657777,0.766859988421266,1.0073878627968338,0.09793230935393754,0.0598029721243607,0.059470770892399105,False,MBTI,thinking,False
MBTI_thinking_Binary_PTD_BERT_T_F_test.csv,MBTI_thinking,0,0,0.5087066527757107,0.5755460266073946,0.9271185139699107,0.9221841358758895,1.0232189973614776,0.09793230935393754,0.0598029721243607,0.059470770892399105,True,MBTI,thinking,False
MBTI_thinking_Binary_PTD_RoBERTa_F_F_test.csv,MBTI_thinking,0,0,0.4443692932025702,0.5795938024518333,1.3915770328326382,0.724465348647557,1.3066392881587954,0.1296902098846206,0.05447394997786331,0.16815174834615904,False,MBTI,thinking,False
MBTI_thinking_Binary_PTD_RoBERTa_T_F_test.csv,MBTI_thinking,0,0,0.4443692932025702,0.5795938024518333,1.055136567468406,0.871202646639538,1.3271731690622863,0.1296902098846206,0.05447394997786331,0.16815174834615904,True,MBTI,thinking,False
MBTI_thinking_Binary_PT_RoBERTa_F_F_test.csv,MBTI_thinking,0,0,0.5416709379805228,0.7356443089504805,1.7480751046872889,0.6719831026211309,1.470048629531388,0.21364092276830493,0.057478841993675506,0.21364092276830493,False,MBTI,thinking,False
MBTI_thinking_Binary_PT_RoBERTa_T_F_test.csv,MBTI_thinking,0,0,0.5416709379805228,0.7356443089504805,1.3162231527759016,0.8106224529078334,1.4942528735632181,0.21364092276830493,0.057478841993675506,0.21364092276830493,True,MBTI,thinking,False
